,filename,components,smiles,"Mass density, kg/m3","Mass density, kg/m3_std","Speed of sound, m/s","Speed of sound, m/s_std",Relative permittivity at zero frequency,Relative permittivity at zero frequency_std,"Specific heat capacity at constant pressure, J/K/kg","Specific heat capacity at constant pressure, J/K/kg_std","Molar heat capacity at constant pressure, J/K/mol","Molar heat capacity at constant pressure, J/K/mol_std","Molar heat capacity at constant volume, J/K/mol","Molar heat capacity at constant volume, J/K/mol_std","Molar volume, m3/mol","Molar volume, m3/mol_std"
1293989,je500062a,water,O,973.16,,,,,,,,,,,,,
1293990,je500062a,water,O,963.33,,,,,,,,,,,,,
1293991,je500062a,water,O,964.07,,,,,,,,,,,,,
1293992,je500062a,water,O,964.81,,,,,,,,,,,,,
1293993,je500062a,water,O,965.54,,,,,,,,,,,,,
1293994,je500062a,water,O,966.28,,,,,,,,,,,,,
1293995,je500062a,water,O,956.24,,,,,,,,,,,,,
1293996,je500062a,water,O,957.0,,,,,,,,,,,,,
1293997,je500062a,water,O,957.74,,,,,,,,,,,,,
1293998,je500062a,water,O,958.54,,,,,,,,,,,,,
1293999,je500062a,water,O,959.29,,,,,,,,,,,,,
1294000,je500062a,water,O,948.46,,,,,,,,,,,,,
1294001,je500062a,water,O,949.25,,,,,,,,,,,,,
1294002,je500062a,water,O,950.07,,,,,,,,,,,,,
1294003,je500062a,water,O,950.87,,,,,,,,,,,,,
1294004,je500062a,water,O,951.66,,,,,,,,,,,,,
1300701,je500153g,butan-2-ol,CCC(C)O,799.3,0.2,,,,,,,,,,,,
1300702,je500153g,butan-2-ol,CCC(C)O,790.7,0.2,,,,,,,,,,,,
1300703,je500153g,butan-2-ol,CCC(C)O,781.7,0.2,,,,,,,,,,,,
1300704,je500153g,butan-2-ol,CCC(C)O,772.1,0.2,,,,,,,,,,,,
1300705,je500153g,butan-2-ol,CCC(C)O,762.0,0.2,,,,,,,,,,,,
1300711,je500153g,2-propanol,CC(C)O,777.5,0.2,,,,,,,,,,,,
1300712,je500153g,2-propanol,CC(C)O,768.8,0.2,,,,,,,,,,,,
1300713,je500153g,2-propanol,CC(C)O,759.7,0.2,,,,,,,,,,,,
1300714,je500153g,2-propanol,CC(C)O,750.0,0.2,,,,,,,,,,,,
1300715,je500153g,2-propanol,CC(C)O,739.5,0.2,,,,,,,,,,,,
1300721,je500153g,bis(2-hydroxyethyl) ether,OCCOCCO,1110.0,0.2,,,,,,,,,,,,
1300722,je500153g,bis(2-hydroxyethyl) ether,OCCOCCO,1103.0,0.2,,,,,,,,,,,,
1300723,je500153g,bis(2-hydroxyethyl) ether,OCCOCCO,1095.9,0.2,,,,,,,,,,,,
1300724,je500153g,bis(2-hydroxyethyl) ether,OCCOCCO,1088.5,0.2,,,,,,,,,,,,
1300725,je500153g,bis(2-hydroxyethyl) ether,OCCOCCO,1081.1,0.2,,,,,,,,,,,,
1300731,je500153g,triethylene glycol,OCCOCCOCCO,1116.5,0.2,,,,,,,,,,,,
1300732,je500153g,triethylene glycol,OCCOCCOCCO,1108.9,0.2,,,,,,,,,,,,
1300733,je500153g,triethylene glycol,OCCOCCOCCO,1101.1,0.2,,,,,,,,,,,,
1300734,je500153g,triethylene glycol,OCCOCCOCCO,1093.4,0.2,,,,,,,,,,,,
1300735,je500153g,triethylene glycol,OCCOCCOCCO,1085.5,0.2,,,,,,,,,,,,
1302870,je500237g,1-propanol,CCCO,804.9,,,,,,,,,,,,,
1302873,je500237g,1-butanol,CCCCO,810.4,,,,,,,,,,,,,
1302876,je500237g,2-methyl-1-propanol,CC(C)CO,802.7,,,,,,,,,,,,,
1305109,je500283s,decane,CCCCCCCCCC,726.34,0.02,,,,,,,,,,,,
1306571,je500314,water,O,1001.4,,,,,,,,,,,,,
1306572,je500314,water,O,996.5,,,,,,,,,,,,,
1306573,je500314,water,O,990.7,,,,,,,,,,,,,
1306574,je500314,water,O,981.8,,,,,,,,,,,,,
1306575,je500314,water,O,966.8,,,,,,,,,,,,,
1306576,je500314,water,O,957.1,,,,,,,,,,,,,
1306577,je500314,water,O,947.0,,,,,,,,,,,,,
1306578,je500314,water,O,938.5,,,,,,,,,,,,,
1306591,je500314,water,O,1000.7,,,,,,,,,,,,,
1306592,je500314,water,O,996.2,,,,,,,,,,,,,
1306593,je500314,water,O,988.4,,,,,,,,,,,,,
1306594,je500314,water,O,977.7,,,,,,,,,,,,,
1306595,je500314,water,O,969.0,,,,,,,,,,,,,
1306596,je500314,water,O,962.3,,,,,,,,,,,,,
1306597,je500314,water,O,945.0,,,,,,,,,,,,,
1307765,je500332k,water,O,998.21,0.01,,,,,,,,,,,,
1310136,je500380,methanol,CO,786.671,0.005,,,,,,,,,,,,
1310138,je500380,ethanol,CCO,785.339,0.005,,,,,,,,,,,,
1310140,je500380,water,O,997.077,0.005,,,,,,,,,,,,
1313282,je500389t,water,O,998.2,1.0,,,,,,,,,,,,
1313283,je500389t,water,O,997.0,1.0,,,,,,,,,,,,
1313284,je500389t,water,O,995.6,1.0,,,,,,,,,,,,
1313285,je500389t,water,O,994.0,1.0,,,,,,,,,,,,
1313286,je500389t,water,O,992.2,1.0,,,,,,,,,,,,
1314529,je500418f,methanol,CO,789.7,1.0,,,,,,,,,,,,
1317257,je500455u,methanol,CO,786.58,0.1,,,,,,,,,,,,
1317761,je5004719,tetrahydropyran,C1CCOCC1,879.13,0.5,,,,,,,,,,,,
1317762,je5004719,tetrahydropyran,C1CCOCC1,873.99,0.5,,,,,,,,,,,,
1317763,je5004719,tetrahydropyran,C1CCOCC1,868.83,0.5,,,,,,,,,,,,
1317764,je5004719,tetrahydropyran,C1CCOCC1,,,1269.8,0.1,,,,,,,,,,
1317765,je5004719,tetrahydropyran,C1CCOCC1,,,1246.8,0.1,,,,,,,,,,
1317766,je5004719,tetrahydropyran,C1CCOCC1,,,1224.4,0.1,,,,,,,,,,
1317767,je5004719,benzene,c1ccccc1,873.54,0.5,,,,,,,,,,,,
1317768,je5004719,benzene,c1ccccc1,868.2,0.5,,,,,,,,,,,,
1317769,je5004719,benzene,c1ccccc1,862.84,0.5,,,,,,,,,,,,
1317770,je5004719,benzene,c1ccccc1,,,1299.4,0.1,,,,,,,,,,
1317771,je5004719,benzene,c1ccccc1,,,1276.07,0.1,,,,,,,,,,
1317772,je5004719,benzene,c1ccccc1,,,1252.91,0.1,,,,,,,,,,
1317773,je5004719,toluene,Cc1ccccc1,862.18,0.5,,,,,,,,,,,,
1317774,je5004719,toluene,Cc1ccccc1,857.51,0.5,,,,,,,,,,,,
1317775,je5004719,toluene,Cc1ccccc1,852.82,0.5,,,,,,,,,,,,
1317776,je5004719,toluene,Cc1ccccc1,,,1304.6,0.1,,,,,,,,,,
1317777,je5004719,toluene,Cc1ccccc1,,,1283.2,0.1,,,,,,,,,,
1317778,je5004719,toluene,Cc1ccccc1,,,1261.8,0.1,,,,,,,,,,
1317779,je5004719,xylene,Cc1ccccc1C,875.91,0.5,,,,,,,,,,,,
1317780,je5004719,xylene,Cc1ccccc1C,871.7,0.5,,,,,,,,,,,,
1317781,je5004719,xylene,Cc1ccccc1C,867.48,0.5,,,,,,,,,,,,
1317782,je5004719,xylene,Cc1ccccc1C,,,1346.2,0.1,,,,,,,,,,
1317783,je5004719,xylene,Cc1ccccc1C,,,1326.2,0.1,,,,,,,,,,
1317784,je5004719,xylene,Cc1ccccc1C,,,1306.1,0.1,,,,,,,,,,
1319635,je500498,ethylbenzene,CCc1ccccc1,866.95,,,,,,,,,,,,,
1319636,je500498,ethylbenzene,CCc1ccccc1,858.15,,,,,,,,,,,,,
1319637,je500498,ethylbenzene,CCc1ccccc1,849.29,,,,,,,,,,,,,
1319638,je500498,ethylbenzene,CCc1ccccc1,840.38,,,,,,,,,,,,,
1319639,je500498,ethylbenzene,CCc1ccccc1,831.4,,,,,,,,,,,,,
1319640,je500498,ethylbenzene,CCc1ccccc1,822.3,,,,,,,,,,,,,
1319641,je500498,ethylbenzene,CCc1ccccc1,813.1,,,,,,,,,,,,,
1319642,je500498,ethylbenzene,CCc1ccccc1,803.7,,,,,,,,,,,,,
1319643,je500498,ethylbenzene,CCc1ccccc1,794.2,,,,,,,,,,,,,
1319658,je500498,toluene,Cc1ccccc1,866.84,,,,,,,,,,,,,
1319659,je500498,toluene,Cc1ccccc1,857.53,,,,,,,,,,,,,
1319660,je500498,toluene,Cc1ccccc1,848.14,,,,,,,,,,,,,
1319661,je500498,toluene,Cc1ccccc1,838.7,,,,,,,,,,,,,
1319662,je500498,toluene,Cc1ccccc1,829.16,,,,,,,,,,,,,
1319663,je500498,toluene,Cc1ccccc1,819.6,,,,,,,,,,,,,
1319664,je500498,toluene,Cc1ccccc1,809.7,,,,,,,,,,,,,
1319665,je500498,toluene,Cc1ccccc1,799.7,,,,,,,,,,,,,
1320201,je500512f,methoxymethane,COC,,,,,,,113.19015708,2.37699329868,,,,,,
1320202,je500512f,methoxymethane,COC,,,,,,,112.82160956,2.36925380076,,,,,,
1320203,je500512f,methoxymethane,COC,,,,,,,112.13058296,2.35474224216,,,,,,
1320204,je500512f,methoxymethane,COC,,,,,,,112.36092516,2.35957942836,,,,,,
1320205,je500512f,methoxymethane,COC,,,,,,,111.99237764,2.35183993044,,,,,,
1320206,je500512f,methoxymethane,COC,,,,,,,111.53169324,2.34216555804,,,,,,
1320207,je500512f,methoxymethane,COC,,,,,,,111.2552826,2.3363609346,,,,,,
1320208,je500512f,methoxymethane,COC,,,,,,,111.0249404,2.3315237484,,,,,,
1320209,je500512f,methoxymethane,COC,,,,,,,113.46656772,2.38279792212,,,,,,
1320210,je500512f,methoxymethane,COC,,,,,,,112.91374644,2.37118867524,,,,,,
1320211,je500512f,methoxymethane,COC,,,,,,,112.31485672,2.35861199112,,,,,,
1320212,je500512f,methoxymethane,COC,,,,,,,112.45306204,2.36151430284,,,,,,
1320213,je500512f,methoxymethane,COC,,,,,,,111.715967,2.346035307,,,,,,
1320214,je500512f,methoxymethane,COC,,,,,,,111.20921416,2.33539349736,,,,,,
1320215,je500512f,methoxymethane,COC,,,,,,,111.43955636,2.34023068356,,,,,,
1320216,je500512f,methoxymethane,COC,,,,,,,111.30135104,2.33732837184,,,,,,
1320217,je500512f,methoxymethane,COC,,,,,,,114.80255248,2.41085360208,,,,,,
1320218,je500512f,methoxymethane,COC,,,,,,,114.11152588,2.39634204348,,,,,,
1320219,je500512f,methoxymethane,COC,,,,,,,113.60477304,2.38570023384,,,,,,
1320220,je500512f,methoxymethane,COC,,,,,,,113.46656772,2.38279792212,,,,,,
1320221,je500512f,methoxymethane,COC,,,,,,,112.77554112,2.36828636352,,,,,,
1320222,je500512f,methoxymethane,COC,,,,,,,112.13058296,2.35474224216,,,,,,
1320223,je500512f,methoxymethane,COC,,,,,,,112.45306204,2.36151430284,,,,,,
1320224,je500512f,methoxymethane,COC,,,,,,,112.22271984,2.35667711664,,,,,,
1320225,je500512f,methoxymethane,COC,,,,,,,116.23067412,2.44084415652,,,,,,
1320226,je500512f,methoxymethane,COC,,,,,,,115.44751064,2.42439772344,,,,,,
1320227,je500512f,methoxymethane,COC,,,,,,,115.03289468,2.41569078828,,,,,,
1320228,je500512f,methoxymethane,COC,,,,,,,114.89468936,2.41278847656,,,,,,
1320229,je500512f,methoxymethane,COC,,,,,,,114.019389,2.394407169,,,,,,
1320230,je500512f,methoxymethane,COC,,,,,,,113.37443084,2.38086304764,,,,,,
1320231,je500512f,methoxymethane,COC,,,,,,,113.5587046,2.3847327966,,,,,,
1320232,je500512f,methoxymethane,COC,,,,,,,113.28229396,2.37892817316,,,,,,
1320233,je500512f,methoxymethane,COC,,,,,,,117.84306952,2.47470445992,,,,,,
1320234,je500512f,methoxymethane,COC,,,,,,,116.92170072,2.45535571512,,,,,,
1320235,je500512f,methoxymethane,COC,,,,,,,116.64529008,2.44955109168,,,,,,
1320236,je500512f,methoxymethane,COC,,,,,,,116.04640036,2.43697440756,,,,,,
1320237,je500512f,methoxymethane,COC,,,,,,,115.30930532,2.42149541172,,,,,,
1320238,je500512f,methoxymethane,COC,,,,,,,114.57221028,2.40601641588,,,,,,
1320239,je500512f,methoxymethane,COC,,,,,,,114.66434716,2.40795129036,,,,,,
1320240,je500512f,methoxymethane,COC,,,,,,,114.29579964,2.40021179244,,,,,,
1320241,je500512f,methoxymethane,COC,,,,,,,118.8565752,2.4959880792,,,,,,
1320242,je500512f,methoxymethane,COC,,,,,,,118.48802768,2.48824858128,,,,,,
1320243,je500512f,methoxymethane,COC,,,,,,,117.75093264,2.47276958544,,,,,,
1320244,je500512f,methoxymethane,COC,,,,,,,117.0138376,2.4572905896,,,,,,
1320245,je500512f,methoxymethane,COC,,,,,,,116.04640036,2.43697440756,,,,,,
1320246,je500512f,methoxymethane,COC,,,,,,,116.04640036,2.43697440756,,,,,,
1320247,je500512f,methoxymethane,COC,,,,,,,115.58571596,2.42730003516,,,,,,
1320248,je500512f,methoxymethane,COC,,,,,,,121.34427096,2.54822969016,,,,,,
1320249,je500512f,methoxymethane,COC,,,,,,,120.83751812,2.53758788052,,,,,,
1320250,je500512f,methoxymethane,COC,,,,,,,120.14649152,2.52307632192,,,,,,
1320251,je500512f,methoxymethane,COC,,,,,,,119.27119116,2.50469501436,,,,,,
1320252,je500512f,methoxymethane,COC,,,,,,,118.02734328,2.47857420888,,,,,,
1320253,je500512f,methoxymethane,COC,,,,,,,117.98127484,2.47760677164,,,,,,
1320254,je500512f,methoxymethane,COC,,,,,,,117.38238512,2.46503008752,,,,,,
1320255,je500512f,methoxymethane,COC,,,,,,,123.9241036,2.6024061756,,,,,,
1320256,je500512f,methoxymethane,COC,,,,,,,123.09487168,2.58499230528,,,,,,
1320257,je500512f,methoxymethane,COC,,,,,,,122.081366,2.563708686,,,,,,
1320258,je500512f,methoxymethane,COC,,,,,,,120.65324436,2.53371813156,,,,,,
1320259,je500512f,methoxymethane,COC,,,,,,,120.51503904,2.53081581984,,,,,,
1320260,je500512f,methoxymethane,COC,,,,,,,119.82401244,2.51630426124,,,,,,
1320261,je500512f,methoxymethane,COC,,,,,,,127.74778412,2.68270346652,,,,,,
1320262,je500512f,methoxymethane,COC,,,,,,,126.55000468,2.65755009828,,,,,,
1320263,je500512f,methoxymethane,COC,,,,,,,125.35222524,2.63239673004,,,,,,
1320264,je500512f,methoxymethane,COC,,,,,,,123.9241036,2.6024061756,,,,,,
1320265,je500512f,methoxymethane,COC,,,,,,,123.64769296,2.59660155216,,,,,,
1320266,je500512f,methoxymethane,COC,,,,,,,122.86452948,2.58015511908,,,,,,
1320267,je500512f,methoxymethane,COC,,,,,,,130.65009584,2.74365201264,,,,,,
1320268,je500512f,methoxymethane,COC,,,,,,,129.12983732,2.71172658372,,,,,,
1320269,je500512f,methoxymethane,COC,,,,,,,127.74778412,2.68270346652,,,,,,
1320270,je500512f,methoxymethane,COC,,,,,,,127.19496284,2.67109421964,,,,,,
1320271,je500512f,methoxymethane,COC,,,,,,,126.27359404,2.65174547484,,,,,,
1320272,je500512f,methoxymethane,COC,,,,,,,133.46027068,2.80266568428,,,,,,
1320273,je500512f,methoxymethane,COC,,,,,,,131.94001216,2.77074025536,,,,,,
1320274,je500512f,methoxymethane,COC,,,,,,,131.0647118,2.7523589478,,,,,,
1320275,je500512f,methoxymethane,COC,,,,,,,129.9130008,2.7281730168,,,,,,
1320276,je500512f,methoxymethane,COC,,,,,,,136.8232668,2.8732886028,,,,,,
1320277,je500512f,methoxymethane,COC,,,,,,,135.6715558,2.8491026718,,,,,,
1320278,je500512f,methoxymethane,COC,,,,,,,134.15129728,2.81717724288,,,,,,
1320279,je500512f,methoxymethane,COC,,,,,,,144.00994344,3.02420881224,,,,,,
1320280,je500512f,methoxymethane,COC,,,,,,,142.30541116,2.98841363436,,,,,,
1320281,je500512f,methoxymethane,COC,,,,,,,140.41660512,2.94874870752,,,,,,
1322263,je5005752,1-propanol,CCCO,807.75,0.08,,,,,,,,,,,,
1322264,je5005752,1-propanol,CCCO,803.77,0.08,,,,,,,,,,,,
1322265,je5005752,1-propanol,CCCO,799.76,0.08,,,,,,,,,,,,
1322266,je5005752,1-propanol,CCCO,795.72,0.08,,,,,,,,,,,,
1322267,je5005752,1-propanol,CCCO,791.64,0.08,,,,,,,,,,,,
1322268,je5005752,1-propanol,CCCO,787.52,0.08,,,,,,,,,,,,
1322269,je5005752,1-propanol,CCCO,783.36,0.08,,,,,,,,,,,,
1322270,je5005752,1-propanol,CCCO,779.14,0.08,,,,,,,,,,,,
1322279,je5005752,2-methyl-1-propanol,CC(C)CO,805.88,0.08,,,,,,,,,,,,
1322280,je5005752,2-methyl-1-propanol,CC(C)CO,802.03,0.08,,,,,,,,,,,,
1322281,je5005752,2-methyl-1-propanol,CC(C)CO,798.16,0.08,,,,,,,,,,,,
1322282,je5005752,2-methyl-1-propanol,CC(C)CO,794.25,0.08,,,,,,,,,,,,
1322283,je5005752,2-methyl-1-propanol,CC(C)CO,790.31,0.08,,,,,,,,,,,,
1322284,je5005752,2-methyl-1-propanol,CC(C)CO,786.31,0.08,,,,,,,,,,,,
1322285,je5005752,2-methyl-1-propanol,CC(C)CO,782.26,0.08,,,,,,,,,,,,
1322286,je5005752,2-methyl-1-propanol,CC(C)CO,778.14,0.08,,,,,,,,,,,,
1322295,je5005752,1-butanol,CCCCO,813.46,0.08,,,,,,,,,,,,
1322296,je5005752,1-butanol,CCCCO,809.66,0.08,,,,,,,,,,,,
1322297,je5005752,1-butanol,CCCCO,805.84,0.08,,,,,,,,,,,,
1322298,je5005752,1-butanol,CCCCO,801.99,0.08,,,,,,,,,,,,
1322299,je5005752,1-butanol,CCCCO,798.12,0.08,,,,,,,,,,,,
1322300,je5005752,1-butanol,CCCCO,794.22,0.08,,,,,,,,,,,,
1322301,je5005752,1-butanol,CCCCO,790.28,0.08,,,,,,,,,,,,
1322302,je5005752,1-butanol,CCCCO,786.29,0.08,,,,,,,,,,,,
1322311,je5005752,3-methyl-1-butanol,CC(C)CCO,812.29,0.08,,,,,,,,,,,,
1322312,je5005752,3-methyl-1-butanol,CC(C)CCO,808.58,0.08,,,,,,,,,,,,
1322313,je5005752,3-methyl-1-butanol,CC(C)CCO,804.84,0.08,,,,,,,,,,,,
1322314,je5005752,3-methyl-1-butanol,CC(C)CCO,801.09,0.08,,,,,,,,,,,,
1322315,je5005752,3-methyl-1-butanol,CC(C)CCO,797.31,0.08,,,,,,,,,,,,
1322316,je5005752,3-methyl-1-butanol,CC(C)CCO,793.51,0.08,,,,,,,,,,,,
1322317,je5005752,3-methyl-1-butanol,CC(C)CCO,789.67,0.08,,,,,,,,,,,,
1322318,je5005752,3-methyl-1-butanol,CC(C)CCO,785.79,0.08,,,,,,,,,,,,
1322327,je5005752,1-hexanol,CCCCCCO,822.26,0.08,,,,,,,,,,,,
1322328,je5005752,1-hexanol,CCCCCCO,818.7,0.08,,,,,,,,,,,,
1322329,je5005752,1-hexanol,CCCCCCO,815.12,0.08,,,,,,,,,,,,
1322330,je5005752,1-hexanol,CCCCCCO,811.52,0.08,,,,,,,,,,,,
1322331,je5005752,1-hexanol,CCCCCCO,807.89,0.08,,,,,,,,,,,,
1322332,je5005752,1-hexanol,CCCCCCO,804.25,0.08,,,,,,,,,,,,
1322333,je5005752,1-hexanol,CCCCCCO,800.56,0.08,,,,,,,,,,,,
1322334,je5005752,1-hexanol,CCCCCCO,796.85,0.08,,,,,,,,,,,,
1323258,je500594z,ethanol,CCO,802.39,0.007,,,,,,,,,,,,
1323259,je500594z,ethanol,CCO,785.32,0.007,,,,,,,,,,,,
1323260,je500594z,ethanol,CCO,767.84,0.007,,,,,,,,,,,,
1323261,je500594z,ethanol,CCO,749.54,0.007,,,,,,,,,,,,
1323262,je500594z,ethanol,CCO,,,1212.93,0.02,,,,,,,,,,
1323263,je500594z,ethanol,CCO,,,1143.07,0.02,,,,,,,,,,
1323264,je500594z,ethanol,CCO,,,1075.67,0.02,,,,,,,,,,
1323265,je500594z,ethanol,CCO,,,1009.39,0.02,,,,,,,,,,
1326301,je500672d,methanol,CO,786.4,0.2,,,,,,,,,,,,
1331919,je5007532,heptane,CCCCCCC,683.85,,,,,,,,,,,,,
1331920,je5007532,heptane,CCCCCCC,679.61,,,,,,,,,,,,,
1331921,je5007532,heptane,CCCCCCC,675.35,,,,,,,,,,,,,
1331922,je5007532,heptane,CCCCCCC,671.05,,,,,,,,,,,,,
1331923,je5007532,heptane,CCCCCCC,666.73,,,,,,,,,,,,,
1331924,je5007532,heptane,CCCCCCC,662.38,,,,,,,,,,,,,
1331925,je5007532,heptane,CCCCCCC,657.99,,,,,,,,,,,,,
1331926,je5007532,heptane,CCCCCCC,653.57,,,,,,,,,,,,,
1331927,je5007532,heptane,CCCCCCC,649.11,,,,,,,,,,,,,
1331928,je5007532,heptane,CCCCCCC,644.6,,,,,,,,,,,,,
1331929,je5007532,heptane,CCCCCCC,,,1151.7,,,,,,,,,,,
1331930,je5007532,heptane,CCCCCCC,,,1130.1,,,,,,,,,,,
1331931,je5007532,heptane,CCCCCCC,,,1109.1,,,,,,,,,,,
1331932,je5007532,heptane,CCCCCCC,,,1087.5,,,,,,,,,,,
1331933,je5007532,heptane,CCCCCCC,,,1066.6,,,,,,,,,,,
1331934,je5007532,heptane,CCCCCCC,,,1045.4,,,,,,,,,,,
1331935,je5007532,heptane,CCCCCCC,,,1024.7,,,,,,,,,,,
1331936,je5007532,heptane,CCCCCCC,,,1003.6,,,,,,,,,,,
1331937,je5007532,heptane,CCCCCCC,,,983.0,,,,,,,,,,,
1331938,je5007532,heptane,CCCCCCC,,,962.3,,,,,,,,,,,
1331948,je5007532,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,691.84,,,,,,,,,,,,,
1331949,je5007532,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,687.7,,,,,,,,,,,,,
1331950,je5007532,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,683.59,,,,,,,,,,,,,
1331951,je5007532,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,679.4,,,,,,,,,,,,,
1331952,je5007532,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,675.23,,,,,,,,,,,,,
1331953,je5007532,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,670.98,,,,,,,,,,,,,
1331954,je5007532,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,666.75,,,,,,,,,,,,,
1331955,je5007532,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,662.44,,,,,,,,,,,,,
1331956,je5007532,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,658.16,,,,,,,,,,,,,
1331957,je5007532,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,653.8,,,,,,,,,,,,,
1331958,je5007532,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,649.4,,,,,,,,,,,,,
1331959,je5007532,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,,,1103.2,,,,,,,,,,,
1331960,je5007532,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,,,1082.0,,,,,,,,,,,
1331961,je5007532,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,,,1061.4,,,,,,,,,,,
1331962,je5007532,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,,,1040.4,,,,,,,,,,,
1331963,je5007532,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,,,1020.0,,,,,,,,,,,
1331964,je5007532,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,,,999.3,,,,,,,,,,,
1331965,je5007532,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,,,979.2,,,,,,,,,,,
1331966,je5007532,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,,,958.7,,,,,,,,,,,
1331967,je5007532,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,,,938.6,,,,,,,,,,,
1331968,je5007532,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,,,918.7,,,,,,,,,,,
1331969,je5007532,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,,,899.0,,,,,,,,,,,
1332572,je5007604,methanol,CO,791.283,0.05,,,,,,,,,,,,
1332573,je5007604,methanol,CO,786.577,0.05,,,,,,,,,,,,
1332574,je5007604,methanol,CO,781.849,0.05,,,,,,,,,,,,
1332575,je5007604,methanol,CO,777.101,0.05,,,,,,,,,,,,
1332576,je5007604,methanol,CO,772.316,0.05,,,,,,,,,,,,
1332577,je5007604,methanol,CO,767.513,0.05,,,,,,,,,,,,
1332578,je5007604,methanol,CO,762.669,0.05,,,,,,,,,,,,
1332579,je5007604,methanol,CO,,,1119.3,0.5,,,,,,,,,,
1332580,je5007604,methanol,CO,,,1102.81,0.5,,,,,,,,,,
1332581,je5007604,methanol,CO,,,1086.39,0.5,,,,,,,,,,
1332582,je5007604,methanol,CO,,,1070.16,0.5,,,,,,,,,,
1332583,je5007604,methanol,CO,,,1053.93,0.5,,,,,,,,,,
1332584,je5007604,methanol,CO,,,1037.89,0.5,,,,,,,,,,
1332585,je5007604,methanol,CO,,,1021.87,0.5,,,,,,,,,,
1332586,je5007604,1-propanol,CCCO,803.476,0.05,,,,,,,,,,,,
1332587,je5007604,1-propanol,CCCO,799.471,0.05,,,,,,,,,,,,
1332588,je5007604,1-propanol,CCCO,795.437,0.05,,,,,,,,,,,,
1332589,je5007604,1-propanol,CCCO,791.372,0.05,,,,,,,,,,,,
1332590,je5007604,1-propanol,CCCO,787.262,0.05,,,,,,,,,,,,
1332591,je5007604,1-propanol,CCCO,783.104,0.05,,,,,,,,,,,,
1332592,je5007604,1-propanol,CCCO,778.897,0.05,,,,,,,,,,,,
1332593,je5007604,1-propanol,CCCO,,,1222.55,0.5,,,,,,,,,,
1332594,je5007604,1-propanol,CCCO,,,1205.64,0.5,,,,,,,,,,
1332595,je5007604,1-propanol,CCCO,,,1188.77,0.5,,,,,,,,,,
1332596,je5007604,1-propanol,CCCO,,,1172.01,0.5,,,,,,,,,,
1332597,je5007604,1-propanol,CCCO,,,1155.35,0.5,,,,,,,,,,
1332598,je5007604,1-propanol,CCCO,,,1138.65,0.5,,,,,,,,,,
1332599,je5007604,1-propanol,CCCO,,,1121.93,0.5,,,,,,,,,,
1332600,je5007604,1-butanol,CCCCO,809.613,0.05,,,,,,,,,,,,
1332601,je5007604,1-butanol,CCCCO,805.808,0.05,,,,,,,,,,,,
1332602,je5007604,1-butanol,CCCCO,801.969,0.05,,,,,,,,,,,,
1332603,je5007604,1-butanol,CCCCO,798.101,0.05,,,,,,,,,,,,
1332604,je5007604,1-butanol,CCCCO,794.193,0.05,,,,,,,,,,,,
1332605,je5007604,1-butanol,CCCCO,790.244,0.05,,,,,,,,,,,,
1332606,je5007604,1-butanol,CCCCO,786.25,0.05,,,,,,,,,,,,
1332607,je5007604,1-butanol,CCCCO,,,1257.01,0.5,,,,,,,,,,
1332608,je5007604,1-butanol,CCCCO,,,1240.37,0.5,,,,,,,,,,
1332609,je5007604,1-butanol,CCCCO,,,1223.64,0.5,,,,,,,,,,
1332610,je5007604,1-butanol,CCCCO,,,1206.95,0.5,,,,,,,,,,
1332611,je5007604,1-butanol,CCCCO,,,1190.34,0.5,,,,,,,,,,
1332612,je5007604,1-butanol,CCCCO,,,1173.84,0.5,,,,,,,,,,
1332613,je5007604,1-butanol,CCCCO,,,1157.36,0.5,,,,,,,,,,
1339844,je5008444,octane,CCCCCCCC,,,,,,,248.16,0.05,,,,,,
1339845,je5008444,octane,CCCCCCCC,,,,,,,250.1,0.05,,,,,,
1339846,je5008444,octane,CCCCCCCC,,,,,,,252.24,0.05,,,,,,
1339847,je5008444,octane,CCCCCCCC,,,,,,,253.98,0.04,,,,,,
1339848,je5008444,octane,CCCCCCCC,,,,,,,256.5,0.05,,,,,,
