;filename;Pure_Dens_Molecules;Bin_Dens_Mixtures;Pure_Hmol_Molecules;Bin_EME_Mixtures;Pure_Cpmol_Molecules;Bin_EMCp_Mixtures;Property_Score;nan_Count;Pure_Dens_Counts;Bin_Dens_Counts;Pure_Hmol_Counts;Bin_EME_Counts;Pure_Cpmol_Counts;Bin_EMCp_Counts;Component_Score;Aggregate_Score
598;je0504212;"[""'CCCCOCCCC'"", ""'CCOCCO'"", ""'OCCOCCO'"", ""'COCCOC'"", ""'CCOCCOCC'"", ""'CCOCCOCCO'"", ""'OCCOCCOCCO'"", ""'OCc1ccccc1'""]";['nan'];['nan'];"[""'OCc1ccccc1__CCCCOCCCC'"", ""'OCc1ccccc1__CCOCCO'"", ""'OCc1ccccc1__COCCOC'"", ""'OCc1ccccc1__CCOCCOCC'"", ""'OCc1ccccc1__CCOCCOCCO'""]";['nan'];['nan'];2.0;-4.0;8;1;1;5;1;1;13.0;15.0
256;j.jct.2007.05.005;"[""'CCOC(C)(C)C'"", ""'CC(C)CC(C)(C)C'"", ""'CCc1ccccc1'"", ""'c1ccccc1'"", ""'Cc1ccccc1'"", ""'CC(C)(C)O'"", ""'CCO'""]";"[""'c1ccccc1__CCOC(C)(C)C'"", ""'Cc1ccccc1__CCOC(C)(C)C'"", ""'CCc1ccccc1__CCOC(C)(C)C'"", ""'CC(C)CC(C)(C)C__CCOC(C)(C)C'"", ""'CC(C)(C)O__CCOC(C)(C)C'"", ""'CCO__CCOC(C)(C)C'""]";['nan'];['nan'];['nan'];['nan'];2.0;-4.0;7;6;1;1;1;1;13.0;15.0
368;j.jct.2012.02.037;"[""'OC1CCCCC1'"", ""'CO'"", ""'CCO'"", ""'CCCO'"", ""'CC(C)O'"", ""'CCCCO'"", ""'CCC(C)O'""]";['nan'];['nan'];"[""'CO__OC1CCCCC1'"", ""'CCCO__OC1CCCCC1'"", ""'CCCCO__OC1CCCCC1'"", ""'CCO__OC1CCCCC1'"", ""'CC(C)O__OC1CCCCC1'"", ""'CCC(C)O__OC1CCCCC1'""]";['nan'];['nan'];2.0;-4.0;7;1;1;6;1;1;13.0;15.0
613;je0601098;"[""'CO'"", ""'CCO'"", ""'CCCO'"", ""'CCCCO'"", ""'C1CCOC1'"", ""'C1COCCO1'""]";"[""'CO__O'"", ""'CCO__O'"", ""'CCCO__O'"", ""'CCCCO__O'"", ""'C1CCOC1__O'"", ""'C1COCCO1__O'""]";['nan'];['nan'];['nan'];['nan'];2.0;-4.0;6;6;1;1;1;1;12.0;14.0
151;j.fluid.2014.06.005;"[""'CCCO'"", ""'CC(C)O'"", ""'OCCc1ccccc1'"", ""'OCCCO'"", ""'CC(C)(C)O'""]";"[""'CCCO__OCCCO'"", ""'OCCc1ccccc1__CCCO'"", ""'CCCO__CC(C)(C)O'"", ""'CC(C)O__OCCCO'"", ""'OCCc1ccccc1__CC(C)O'"", ""'CC(C)O__CC(C)(C)O'""]";['nan'];['nan'];['nan'];['nan'];2.0;-4.0;5;6;1;1;1;1;11.0;13.0
232;j.jct.2006.06.008;"[""'C1CCCCC1'"", ""'C1CCCC1'"", ""'CCCO'"", ""'CCCCO'"", ""'CCO'""]";"[""'CCO__C1CCCCC1'"", ""'CCCO__C1CCCCC1'"", ""'CCCCO__C1CCCCC1'"", ""'CCO__C1CCCC1'"", ""'CCCO__C1CCCC1'"", ""'CCCCO__C1CCCC1'""]";['nan'];['nan'];['nan'];['nan'];2.0;-4.0;5;6;1;1;1;1;11.0;13.0
588;je0502546;"[""'COc1ccccc1'"", ""'c1ccccc1'"", ""'Cc1ccccc1'"", ""'CCc1ccccc1'"", ""'CCCc1ccccc1'"", ""'CCCCc1ccccc1'""]";"[""'c1ccccc1__COc1ccccc1'"", ""'COc1ccccc1__Cc1ccccc1'"", ""'CCc1ccccc1__COc1ccccc1'"", ""'COc1ccccc1__CCCc1ccccc1'"", ""'COc1ccccc1__CCCCc1ccccc1'""]";['nan'];['nan'];['nan'];['nan'];2.0;-4.0;6;5;1;1;1;1;11.0;13.0
781;je400529k;"[""'C1CC2C3CCC(C3)C2C1'"", ""'C1CCCCC1'"", ""'CC1CCCCC1'"", ""'CCC1CCCCC1'"", ""'CCCCC1CCCCC1'"", ""'CC1CCC(C)C(C)C1'""]";"[""'C1CCCCC1__C1CC2C3CCC(C3)C2C1'"", ""'CC1CCCCC1__C1CC2C3CCC(C3)C2C1'"", ""'CCC1CCCCC1__C1CC2C3CCC(C3)C2C1'"", ""'CCCCC1CCCCC1__C1CC2C3CCC(C3)C2C1'"", ""'CC1CCC(C)C(C)C1__C1CC2C3CCC(C3)C2C1'""]";['nan'];['nan'];['nan'];['nan'];2.0;-4.0;6;5;1;1;1;1;11.0;13.0
296;j.jct.2009.03.009;['nan'];"[""'c1ccccc1__CCCCCC'"", ""'Cc1ccccc1__CCCCCC'"", ""'CCc1ccccc1__CCCCCC'"", ""'c1ccccc1__CCCCCCC'"", ""'Cc1ccccc1__CCCCCCC'"", ""'CCc1ccccc1__CCCCCCC'"", ""'c1ccccc1__CCCCCCCC'"", ""'Cc1ccccc1__CCCCCCCC'"", ""'CCc1ccccc1__CCCCCCCC'"", ""'c1ccccc1__CCCCCCCCC'"", ""'Cc1ccccc1__CCCCCCCCC'"", ""'CCc1ccccc1__CCCCCCCCC'""]";['nan'];['nan'];['nan'];['nan'];1.0;-5.0;1;12;1;1;1;1;12.0;13.0
221;j.jct.2005.12.005;"[""'CC1CCCCC1'"", ""'c1ccccc1'"", ""'Cc1ccccc1'"", ""'Cc1ccc(C)cc1'"", ""'Cc1cc(C)cc(C)c1'"", ""'COc1ccccc1'""]";"[""'c1ccccc1__CC1CCCCC1'"", ""'CC1CCCCC1__Cc1ccccc1'"", ""'Cc1ccc(C)cc1__CC1CCCCC1'"", ""'Cc1cc(C)cc(C)c1__CC1CCCCC1'"", ""'COc1ccccc1__CC1CCCCC1'""]";['nan'];['nan'];['nan'];['nan'];2.0;-4.0;6;5;1;1;1;1;11.0;13.0
48;j.fluid.2008.03.004;"[""'COC(C)(C)C'"", ""'CCOC(C)(C)C'"", ""'Cc1ccccc1C'"", ""'Cc1cccc(C)c1'"", ""'Cc1ccc(C)cc1'""]";"[""'Cc1ccccc1C__COC(C)(C)C'"", ""'Cc1cccc(C)c1__COC(C)(C)C'"", ""'Cc1ccc(C)cc1__COC(C)(C)C'"", ""'Cc1ccccc1C__CCOC(C)(C)C'"", ""'Cc1cccc(C)c1__CCOC(C)(C)C'"", ""'Cc1ccc(C)cc1__CCOC(C)(C)C'""]";['nan'];['nan'];['nan'];['nan'];2.0;-4.0;5;6;1;1;1;1;11.0;13.0
407;j.jct.2012.12.003;"[""'CC(O)CO'"", ""'CO'"", ""'CCCO'"", ""'CCCCCCO'"", ""'CCCCCCCCO'"", ""'CCCCCCCCCO'""]";"[""'CC(O)CO__CO'"", ""'CC(O)CO__CCCO'"", ""'CC(O)CO__CCCCCCO'"", ""'CC(O)CO__CCCCCCCCO'"", ""'CC(O)CO__CCCCCCCCCO'""]";['nan'];['nan'];['nan'];['nan'];2.0;-4.0;6;5;1;1;1;1;11.0;13.0
749;je300670n;"[""'CCOC(C)(C)CC'"", ""'CCCCO'"", ""'CCC(C)O'"", ""'CCC(C)(C)O'""]";"[""'CCCCO__CCOC(C)(C)CC'"", ""'CCC(C)(C)O__CCOC(C)(C)CC'"", ""'CCC(C)O__CCOC(C)(C)CC'""]";['nan'];"[""'CCCCO__CCOC(C)(C)CC'"", ""'CCC(C)(C)O__CCOC(C)(C)CC'"", ""'CCC(C)O__CCOC(C)(C)CC'""]";['nan'];['nan'];3.0;-3.0;4;3;1;3;1;1;10.0;13.0
172;j.fluid.2015.03.040;"[""'CCCCO'"", ""'CCCCCO'"", ""'CCCCCCO'"", ""'CCCCCCCO'"", ""'CCCCCCCCO'"", ""'C1CCOCC1'"", ""'COC(C)(C)C'"", ""'CCC(C)(C)OC'"", ""'CCOC(C)(C)C'"", ""'CC(C)OC(C)C'"", ""'O'""]";['nan'];['nan'];['nan'];['nan'];['nan'];1.0;-5.0;11;1;1;1;1;1;11.0;12.0
885;je800497u;"[""'CCCO'"", ""'CCCCCO'"", ""'CCCCCCCO'"", ""'CCCCCCCCCO'""]";"[""'CCCO__CCCCCO'"", ""'CCCCCO__CCCCCCCCCO'"", ""'CCCO__CCCCCCCO'"", ""'CCCO__CCCCCCCCCO'"", ""'CCCCCCCO__CCCCCCCCCO'"", ""'CCCCCO__CCCCCCCO'""]";['nan'];['nan'];['nan'];['nan'];2.0;-4.0;4;6;1;1;1;1;10.0;12.0
776;je4004806;"[""'CCCCCCCC'"", ""'CCO'"", ""'CCCO'"", ""'CCCCO'"", ""'CCCCCO'""]";"[""'CCO__CCCCCCCC'"", ""'CCCO__CCCCCCCC'"", ""'CCCCO__CCCCCCCC'"", ""'CCCCCO__CCCCCCCC'""]";['nan'];['nan'];['nan'];['nan'];2.0;-4.0;5;4;1;1;1;1;9.0;11.0
644;je060496;"[""'OCC(O)CO'"", ""'CCCO'"", ""'CC(C)O'"", ""'CC(O)CO'"", ""'OCCCO'""]";"[""'OCC(O)CO__CCCO'"", ""'OCC(O)CO__CC(C)O'"", ""'OCC(O)CO__CC(O)CO'"", ""'OCC(O)CO__OCCCO'""]";['nan'];['nan'];['nan'];['nan'];2.0;-4.0;5;4;1;1;1;1;9.0;11.0
117;j.fluid.2013.06.021;"[""'CCCCOCCO'"", ""'CCCO'"", ""'CC(C)O'"", ""'CCCCO'"", ""'CCC(C)O'""]";"[""'CCCO__CCCCOCCO'"", ""'CC(C)O__CCCCOCCO'"", ""'CCCCO__CCCCOCCO'"", ""'CCC(C)O__CCCCOCCO'""]";['nan'];['nan'];['nan'];['nan'];2.0;-4.0;5;4;1;1;1;1;9.0;11.0
609;je0600799;"[""'COC(C)(C)C'"", ""'CO'"", ""'c1ccccc1'"", ""'Cc1ccccc1'""]";"[""'CO__COC(C)(C)C'"", ""'CO__c1ccccc1'"", ""'c1ccccc1__COC(C)(C)C'"", ""'CO__Cc1ccccc1'"", ""'Cc1ccccc1__COC(C)(C)C'""]";['nan'];['nan'];['nan'];['nan'];2.0;-4.0;4;5;1;1;1;1;9.0;11.0
267;j.jct.2007.10.010;"[""'CCCCCCCC'"", ""'c1ccccc1'"", ""'Cc1ccccc1'"", ""'Cc1cccc(C)c1'"", ""'Cc1cc(C)cc(C)c1'""]";"[""'c1ccccc1__CCCCCCCC'"", ""'Cc1ccccc1__CCCCCCCC'"", ""'Cc1cccc(C)c1__CCCCCCCC'"", ""'Cc1cc(C)cc(C)c1__CCCCCCCC'""]";['nan'];['nan'];['nan'];['nan'];2.0;-4.0;5;4;1;1;1;1;9.0;11.0
819;je501041r;"[""'CC(C)CC(C)(C)C'"", ""'CCCO'"", ""'CCCCCO'"", ""'CCCCCCO'"", ""'CCCCCCCO'""]";"[""'CCCO__CC(C)CC(C)(C)C'"", ""'CCCCCO__CC(C)CC(C)(C)C'"", ""'CCCCCCO__CC(C)CC(C)(C)C'"", ""'CCCCCCCO__CC(C)CC(C)(C)C'""]";['nan'];['nan'];['nan'];['nan'];2.0;-4.0;5;4;1;1;1;1;9.0;11.0
815;je5009334;"[""'OCCc1ccccc1'"", ""'CCC(C)O'"", ""'CCC(O)CO'"", ""'CC(O)CCO'"", ""'OCc1ccccc1'""]";"[""'OCCc1ccccc1__CCC(O)CO'"", ""'CCC(C)O__CCC(O)CO'"", ""'CC(O)CCO__CCC(O)CO'"", ""'OCc1ccccc1__CCC(O)CO'""]";['nan'];['nan'];['nan'];['nan'];2.0;-4.0;5;4;1;1;1;1;9.0;11.0
969;je9010882;"[""'OCCO'"", ""'CCCCCCCO'"", ""'CCCCCCCCCO'"", ""'CCO'"", ""'CCCCC(CC)CO'""]";"[""'CCCCC(CC)CO__OCCO'"", ""'OCCO__CCCCCCCO'"", ""'CCO__OCCO'"", ""'OCCO__CCCCCCCCCO'""]";['nan'];['nan'];['nan'];['nan'];2.0;-4.0;5;4;1;1;1;1;9.0;11.0
674;je100734t;"[""'CCCCCCCCCO'"", ""'Cc1ccccc1C'"", ""'Cc1cccc(C)c1'"", ""'Cc1ccc(C)cc1'"", ""'CCc1ccccc1'""]";"[""'Cc1ccccc1C__CCCCCCCCCO'"", ""'Cc1cccc(C)c1__CCCCCCCCCO'"", ""'Cc1ccc(C)cc1__CCCCCCCCCO'"", ""'CCc1ccccc1__CCCCCCCCCO'""]";['nan'];['nan'];['nan'];['nan'];2.0;-4.0;5;4;1;1;1;1;9.0;11.0
155;j.fluid.2014.06.024;"[""'C1CCOCC1'"", ""'c1ccccc1'"", ""'Cc1ccccc1'"", ""'Cc1ccccc1C'""]";['nan'];['nan'];['nan'];"[""'C1CCOCC1'"", ""'c1ccccc1'"", ""'Cc1ccccc1'"", ""'Cc1ccccc1C'""]";['nan'];2.0;-4.0;4;1;1;1;4;1;8.0;10.0
968;je901072c;"[""'CC(C)OCCO'"", ""'CCCCOCCO'"", ""'COCCOCCOC'"", ""'COC(C)COC(C)CO'""]";"[""'CC(C)OCCO__O'"", ""'CCCCOCCO__O'"", ""'COCCOCCOC__O'"", ""'O__COC(C)COC(C)CO'""]";['nan'];['nan'];['nan'];['nan'];2.0;-4.0;4;4;1;1;1;1;8.0;10.0
604;je050540h;"[""'C1CCCCC1'"", ""'C1CCCC1'"", ""'CC(C)O'"", ""'CCCC(C)O'""]";"[""'CC(C)O__C1CCCCC1'"", ""'C1CCCCC1__CCCC(C)O'"", ""'CC(C)O__C1CCCC1'"", ""'C1CCCC1__CCCC(C)O'""]";['nan'];['nan'];['nan'];['nan'];2.0;-4.0;4;4;1;1;1;1;8.0;10.0
21;j.fluid.2006.02.023;"[""'C1COCO1'"", ""'O'"", ""'CO'"", ""'CCO'"", ""'CCCO'"", ""'CC(C)O'"", ""'CCCCO'"", ""'CC(C)(C)O'"", ""'CC(C)CCO'""]";['nan'];['nan'];['nan'];['nan'];['nan'];1.0;-5.0;9;1;1;1;1;1;9.0;10.0
731;je2011314;"[""'CO'"", ""'CCCCCC(C)C'"", ""'CCCO'"", ""'COC(C)(C)C'"", ""'CCO'"", ""'CC(C)OC(C)C'""]";"[""'CC(C)OC(C)C__CCCCCC(C)C'"", ""'CCCCCC(C)C__COC(C)(C)C'""]";['nan'];['nan'];['nan'];['nan'];2.0;-4.0;6;2;1;1;1;1;8.0;10.0
601;je050484k;"[""'COCCO'"", ""'Cc1ccc(C)c(C)c1'"", ""'Cc1cc(C)cc(C)c1'"", ""'COCCOC'""]";"[""'Cc1ccc(C)c(C)c1__COCCO'"", ""'Cc1ccc(C)c(C)c1__COCCOC'"", ""'Cc1cc(C)cc(C)c1__COCCO'"", ""'Cc1cc(C)cc(C)c1__COCCOC'""]";['nan'];['nan'];['nan'];['nan'];2.0;-4.0;4;4;1;1;1;1;8.0;10.0
336;j.jct.2011.04.006;"[""'CCCCOCCCC'"", ""'CCCOCCC'"", ""'CCC(C)(C)C'"", ""'CC(C)C(C)C'""]";['nan'];['nan'];"[""'CCC(C)(C)C__CCCCOCCCC'"", ""'CC(C)C(C)C__CCCCOCCCC'"", ""'CCC(C)(C)C__CCCOCCC'"", ""'CC(C)C(C)C__CCCOCCC'""]";['nan'];['nan'];2.0;-4.0;4;1;1;4;1;1;8.0;10.0
1047;j.jct.2006.10.007;['nan'];['nan'];['nan'];['nan'];"[""'CCCCCC(C)O'"", ""'CCCC(O)CCC'"", ""'CCCCCCC(C)O'"", ""'CCCCCC(O)CC'"", ""'CCCCC(O)CCC'"", ""'CCCCCCCC(C)O'"", ""'CCCCCCC(O)CC'"", ""'CCCCCC(O)CCC'"", ""'CCCCC(O)CCCC'""]";['nan'];1.0;-5.0;1;1;1;1;9;1;9.0;10.0
252;j.jct.2007.02.008;"[""'CCO'"", ""'CC(C)O'"", ""'CCCCCC'"", ""'C1CCCCC1'"", ""'CCCCCCC'""]";"[""'CCO__CCCCCC'"", ""'CCO__CCCCCCC'"", ""'CC(C)O__C1CCCCC1'""]";['nan'];['nan'];['nan'];['nan'];2.0;-4.0;5;3;1;1;1;1;8.0;10.0
954;je900807v;"[""'CC1CCCCC1'"", ""'c1ccccc1'"", ""'Cc1ccccc1'"", ""'CCc1ccccc1'""]";"[""'c1ccccc1__CC1CCCCC1'"", ""'CC1CCCCC1__Cc1ccccc1'"", ""'CCc1ccccc1__CC1CCCCC1'""]";['nan'];['nan'];['nan'];['nan'];2.0;-4.0;4;3;1;1;1;1;7.0;9.0
931;je9004933;"[""'CCCCCO'"", ""'CCCCCCCO'"", ""'CCCCCCCCCO'"", ""'CCCCC(CC)CO'""]";"[""'CCCCCO__CCCCC(CC)CO'"", ""'CCCCC(CC)CO__CCCCCCCO'"", ""'CCCCC(CC)CO__CCCCCCCCCO'""]";['nan'];['nan'];['nan'];['nan'];2.0;-4.0;4;3;1;1;1;1;7.0;9.0
669;je100652b;"[""'CCCCO'"", ""'CCCCCO'"", ""'CCCCCCCO'"", ""'c1ccccc1'"", ""'C1CCCCC1'"", ""'Cc1ccccc1'"", ""'Cc1ccc(C)cc1'"", ""'CCc1ccccc1'""]";['nan'];['nan'];['nan'];['nan'];['nan'];1.0;-5.0;8;1;1;1;1;1;8.0;9.0
855;je700580g;"[""'OCCO'"", ""'CCCCO'"", ""'CCCCCCO'"", ""'CCCCCCCCO'""]";"[""'CCCCO__OCCO'"", ""'OCCO__CCCCCCO'"", ""'OCCO__CCCCCCCCO'""]";['nan'];['nan'];['nan'];['nan'];2.0;-4.0;4;3;1;1;1;1;7.0;9.0
853;je7005727;"[""'CCCCO'"", ""'CCCCCO'"", ""'CCCCCCO'"", ""'CCCCOCCCC'""]";"[""'CCCCO__CCCCOCCCC'"", ""'CCCCCO__CCCCOCCCC'"", ""'CCCCCCO__CCCCOCCCC'""]";['nan'];['nan'];['nan'];['nan'];2.0;-4.0;4;3;1;1;1;1;7.0;9.0
240;j.jct.2006.09.007;"[""'CCc1ccccc1'"", ""'Cc1ccccc1C'"", ""'Cc1cccc(C)c1'"", ""'Cc1ccc(C)cc1'"", ""'CC(C)c1ccccc1'"", ""'Cc1ccc(C)c(C)c1'"", ""'Cc1cc(C)cc(C)c1'"", ""'COc1ccccc1'""]";['nan'];['nan'];['nan'];['nan'];['nan'];1.0;-5.0;8;1;1;1;1;1;8.0;9.0
249;j.jct.2007.01.009;"[""'CCCCC(O)CO'"", ""'CC(O)CCC(C)O'"", ""'CC(O)CCCCO'""]";"[""'CCCCC(O)CO__O'"", ""'CC(O)CCCCO__O'"", ""'OCCCCCCO__O'"", ""'CC(O)CCC(C)O__O'""]";['nan'];['nan'];['nan'];['nan'];2.0;-4.0;3;4;1;1;1;1;7.0;9.0
681;je100823t;"[""'CCCCCCO'"", ""'Cc1ccccc1C'"", ""'Cc1cccc(C)c1'"", ""'Cc1ccc(C)cc1'""]";"[""'Cc1ccccc1C__CCCCCCO'"", ""'Cc1cccc(C)c1__CCCCCCO'"", ""'Cc1ccc(C)cc1__CCCCCCO'""]";['nan'];['nan'];['nan'];['nan'];2.0;-4.0;4;3;1;1;1;1;7.0;9.0
108;j.fluid.2013.01.027;"[""'CCCCO'"", ""'CCCCCCO'"", ""'CCCCCCCCO'"", ""'O'"", ""'c1ccccc1'"", ""'Cc1ccccc1'"", ""'CCc1ccccc1'"", ""'CCCc1ccccc1'""]";['nan'];['nan'];['nan'];['nan'];['nan'];1.0;-5.0;8;1;1;1;1;1;8.0;9.0
620;je060179e;"[""'CCCCCCC'"", ""'CCCCO'"", ""'CCCCCCO'"", ""'CCCCCCCCO'""]";"[""'CCCCO__CCCCCCC'"", ""'CCCCCCO__CCCCCCC'"", ""'CCCCCCCCO__CCCCCCC'""]";['nan'];['nan'];['nan'];['nan'];2.0;-4.0;4;3;1;1;1;1;7.0;9.0
1008;j.fluid.2011.11.005;['nan'];['nan'];['nan'];"[""'CC1CCCCC1__CCCCOCCCC'"", ""'Cc1ccccc1__CCCCOCCCC'"", ""'CCCCO__CC1CCCCC1'"", ""'CCCCO__Cc1ccccc1'"", ""'C1CCCCC1__CCCCOCCCC'"", ""'CCCCOCCCC__CC(C)CC(C)(C)C'"", ""'CCCCO__C1CCCCC1'"", ""'CCCCO__CC(C)CC(C)(C)C'""]";['nan'];['nan'];1.0;-5.0;1;1;1;8;1;1;8.0;9.0
