;filename;components;SMILES;CAS;InChI;Temperature, K;Pressure, kPa;Relative permittivity at zero frequency;Relative permittivity at zero frequency_std
984245;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;372.9;20000.0;4.0;0.01
984246;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;372.9;22300.0;4.05;0.01
984247;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;372.9;24100.0;4.09;0.01
984248;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;372.9;26200.0;4.14;0.01
984249;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;372.9;27800.0;4.16;0.01
984250;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;372.9;29200.0;4.18;0.01
984251;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;382.9;4000.0;3.08;0.01
984252;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;382.9;6200.0;3.31;0.01
984253;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;382.9;8100.0;3.43;0.01
984254;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;382.9;10000.0;3.53;0.01
984255;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;382.9;12300.0;3.62;0.01
984256;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;382.9;14200.0;3.68;0.01
984257;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;382.9;16100.0;3.74;0.01
984258;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;382.9;18000.0;3.79;0.01
984259;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;382.9;20000.0;3.84;0.01
984260;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;382.9;22000.0;3.89;0.01
984261;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;382.9;24000.0;3.93;0.01
984262;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;382.9;26000.0;3.97;0.01
984263;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;382.9;27900.0;4.01;0.01
984264;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;382.9;30100.0;4.05;0.01
984265;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;393.0;6200.0;3.01;0.01
984266;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;393.0;8400.0;3.21;0.01
984267;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;393.0;10000.0;3.3;0.01
984268;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;393.0;12300.0;3.4;0.01
984269;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;393.0;14200.0;3.47;0.01
984270;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;393.0;16200.0;3.54;0.01
984271;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;393.0;18200.0;3.6;0.01
984272;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;393.0;20000.0;3.65;0.01
984273;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;393.0;22000.0;3.7;0.01
984274;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;393.0;24000.0;3.75;0.01
984275;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;393.0;26000.0;3.79;0.01
984276;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;393.0;27800.0;3.83;0.01
984277;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;393.0;29500.0;3.86;0.01
1227397;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;273.15;101.0;87.0;0.05
1227398;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;275.15;101.0;86.36;0.05
1227399;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;277.15;101.0;85.67;0.05
1227400;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;279.15;101.0;84.84;0.05
1227401;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;281.15;101.0;84.25;0.05
1227402;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;283.15;101.0;83.37;0.05
1227403;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;285.15;101.0;82.73;0.05
1227404;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;287.15;101.0;82.02;0.05
1227405;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;289.15;101.0;81.33;0.05
1227406;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;291.15;101.0;80.65;0.05
1227407;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;293.15;101.0;79.98;0.05
1227408;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;295.15;101.0;79.32;0.05
1227409;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;297.15;101.0;78.42;0.05
1227410;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;299.15;101.0;77.85;0.05
1227411;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;301.15;101.0;77.29;0.05
1227412;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;303.15;101.0;76.61;0.05
1227413;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;305.15;101.0;75.95;0.05
1227414;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;307.15;101.0;75.3;0.05
1227415;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;309.15;101.0;74.65;0.05
1227416;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;311.15;101.0;73.97;0.05
1227417;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;313.15;101.0;73.29;0.05
1227418;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;315.15;101.0;72.68;0.05
1227419;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;317.15;101.0;72.09;0.05
1227420;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;319.15;101.0;71.44;0.05
1227421;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;321.15;101.0;70.76;0.05
1227422;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;323.15;101.0;70.14;0.05
1227423;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;325.15;101.0;69.54;0.05
1227424;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;327.15;101.0;68.94;0.05
1227425;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;329.15;101.0;68.3;0.05
1227426;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;331.15;101.0;67.68;0.05
1227427;je400149j;water;O;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N;333.15;101.0;67.07;0.05
1368162;je600515j;1,2-propanediol;CC(O)CO;57-55-6;InChIKey=DNIAPMSPPWPWGF-UHFFFAOYSA-N;303.15;101.325;27.87;0.2787
1368163;je600515j;1,2-propanediol;CC(O)CO;57-55-6;InChIKey=DNIAPMSPPWPWGF-UHFFFAOYSA-N;308.15;101.325;27.13;0.2713
1368164;je600515j;1,2-propanediol;CC(O)CO;57-55-6;InChIKey=DNIAPMSPPWPWGF-UHFFFAOYSA-N;313.15;101.325;26.43;0.2643
1368165;je600515j;1,2-propanediol;CC(O)CO;57-55-6;InChIKey=DNIAPMSPPWPWGF-UHFFFAOYSA-N;318.15;101.325;25.76;0.2576
1368166;je600515j;1,2-propanediol;CC(O)CO;57-55-6;InChIKey=DNIAPMSPPWPWGF-UHFFFAOYSA-N;323.15;101.325;25.08;0.2508
1368167;je600515j;1,2-propanediol;CC(O)CO;57-55-6;InChIKey=DNIAPMSPPWPWGF-UHFFFAOYSA-N;328.15;101.325;24.57;0.2457
1441703;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;390.53;170.0;2.17781;0.0003
1441704;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;315.78;1140.0;2.34185;0.0003
1441705;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;320.66;1140.0;2.33114;0.0003
1441706;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;324.53;1140.0;2.32241;0.0003
1441707;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;315.79;2170.0;2.34366;0.0003
1441708;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;324.54;2170.0;2.32435;0.0003
1441709;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;339.35;2170.0;2.2919;0.0003
1441710;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;357.45;2170.0;2.25261;0.0003
1441711;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;290.69;2170.0;2.41272;0.0003
1441712;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;390.53;2170.0;2.18342;0.0003
1441714;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;324.54;3200.0;2.32625;0.0003
1441715;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;315.79;3200.0;2.34545;0.0003
1441716;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;290.77;4240.0;2.41409;0.0003
1441717;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;315.79;4240.0;2.34729;0.0003
1441718;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;324.54;4240.0;2.32811;0.0003
1441719;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;339.38;4240.0;2.29596;0.0003
1441720;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;357.45;4240.0;2.25717;0.0003
1441721;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;390.59;4240.0;2.18899;0.0003
1441723;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;339.38;6310.0;2.29992;0.0003
1441724;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;357.44;6310.0;2.26156;0.0003
1441725;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;290.81;6310.0;2.41721;0.0003
1441726;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;324.54;6310.0;2.33179;0.0003
1441727;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;390.61;6310.0;2.19431;0.0003
1441728;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;315.79;6310.0;2.35078;0.0003
1441730;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;357.52;8370.0;2.26578;0.0003
1441731;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;315.78;8370.0;2.35428;0.0003
1441732;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;290.83;8370.0;2.4202;0.0003
1441733;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;390.63;8370.0;2.19969;0.0003
1441734;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;339.39;8370.0;2.3038;0.0003
1441735;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;324.58;8370.0;2.33528;0.0003
1441737;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;357.54;12510.0;2.274;0.0003
1441738;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;339.41;12510.0;2.31127;0.0003
1441739;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;290.87;12510.0;2.42629;0.0003
1441740;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;390.65;12510.0;2.20969;0.0003
1441741;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;324.61;12510.0;2.34222;0.0003
1441742;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;315.79;12510.0;2.36095;0.0003
1441744;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;290.88;16100.0;2.43136;0.0003
1441745;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;390.68;16650.0;2.21925;0.0003
1441746;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;357.55;16650.0;2.28185;0.0003
1441747;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;290.9;16650.0;2.4322;0.0003
1441748;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;315.79;16650.0;2.3674;0.0003
1441749;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;339.41;16650.0;2.31844;0.0003
1441750;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;324.62;16650.0;2.34897;0.0003
1441752;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;315.79;19410.0;2.37152;0.0003
1441753;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;297.41;6919.0;2.3777;0.002
1441754;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;297.4;13927.0;2.3962;0.002
1441755;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;297.39;20942.0;2.4127;0.002
1441756;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;297.38;27906.0;2.4276;0.002
1441757;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;297.37;34905.0;2.443;0.002
1441758;je7006692;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;297.37;41879.0;2.4564;0.002
1508574;je800593p;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;288.15;101.0;34.62;0.03
1508575;je800593p;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;293.15;101.0;33.6;0.03
1508576;je800593p;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;298.15;101.0;32.6;0.03
1508577;je800593p;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;303.15;101.0;31.65;0.03
1508578;je800593p;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;308.15;101.0;30.72;0.03
1508581;je800593p;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;288.15;101.0;25.92;0.03
1508582;je800593p;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;293.15;101.0;25.12;0.03
1508583;je800593p;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;298.15;101.0;24.35;0.03
1508584;je800593p;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;303.15;101.0;23.6;0.03
1508585;je800593p;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;308.15;101.0;22.87;0.03
1508588;je800593p;1-propanol;CCCO;71-23-8;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;288.15;101.0;21.87;0.03
1508589;je800593p;1-propanol;CCCO;71-23-8;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;293.15;101.0;21.15;0.03
1508590;je800593p;1-propanol;CCCO;71-23-8;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;298.15;101.0;20.45;0.03
1508591;je800593p;1-propanol;CCCO;71-23-8;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;303.15;101.0;19.78;0.03
1508592;je800593p;1-propanol;CCCO;71-23-8;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;308.15;101.0;19.13;0.03
1508595;je800593p;2-propanol;CC(C)O;8013-70-5;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;288.15;101.0;21.22;0.03
1508596;je800593p;2-propanol;CC(C)O;8013-70-5;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;293.15;101.0;20.31;0.03
1508597;je800593p;2-propanol;CC(C)O;8013-70-5;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;298.15;101.0;19.43;0.03
1508598;je800593p;2-propanol;CC(C)O;8013-70-5;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;303.15;101.0;18.59;0.03
1508599;je800593p;2-propanol;CC(C)O;8013-70-5;InChIKey=KFZMGEQAYNKOFK-UHFFFAOYSA-N;308.15;101.0;17.79;0.03
1508602;je800593p;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;288.15;101.0;19.01;0.03
1508603;je800593p;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;293.15;101.0;18.28;0.03
1508604;je800593p;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;298.15;101.0;17.58;0.03
1508605;je800593p;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;303.15;101.0;16.91;0.03
1508606;je800593p;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;308.15;101.0;16.26;0.03
1508609;je800593p;2-methyl-1-propanol;CC(C)CO;68989-27-5;InChIKey=ZXEKIIBDNHEJCQ-UHFFFAOYSA-N;288.15;101.0;19.51;0.03
1508610;je800593p;2-methyl-1-propanol;CC(C)CO;68989-27-5;InChIKey=ZXEKIIBDNHEJCQ-UHFFFAOYSA-N;293.15;101.0;18.71;0.03
1508611;je800593p;2-methyl-1-propanol;CC(C)CO;68989-27-5;InChIKey=ZXEKIIBDNHEJCQ-UHFFFAOYSA-N;298.15;101.0;17.96;0.03
1508612;je800593p;2-methyl-1-propanol;CC(C)CO;68989-27-5;InChIKey=ZXEKIIBDNHEJCQ-UHFFFAOYSA-N;303.15;101.0;17.23;0.03
1508613;je800593p;2-methyl-1-propanol;CC(C)CO;68989-27-5;InChIKey=ZXEKIIBDNHEJCQ-UHFFFAOYSA-N;308.15;101.0;16.53;0.03
1575181;je900503p;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;293.15;101.0;18.26;0.03
1575182;je900503p;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;298.15;101.0;17.54;0.03
1575183;je900503p;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;303.15;101.0;16.89;0.03
1575184;je900503p;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;313.15;101.0;15.45;0.03
1713262;j.tca.2012.05.036;1-pentanol;CCCCCO;71-41-0;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;288.15;101.325;16.334;0.49002
1713263;j.tca.2012.05.036;1-pentanol;CCCCCO;71-41-0;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;293.15;101.325;15.736;0.47208
1713264;j.tca.2012.05.036;1-pentanol;CCCCCO;71-41-0;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;298.15;101.325;15.144;0.45432
1713265;j.tca.2012.05.036;1-pentanol;CCCCCO;71-41-0;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;303.15;101.325;14.565;0.43695
1713266;j.tca.2012.05.036;1-pentanol;CCCCCO;71-41-0;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;308.15;101.325;13.998;0.41994
1713275;j.tca.2012.05.036;octane;CCCCCCCC;31372-91-5;InChIKey=TVMXDCGIABBOFY-UHFFFAOYSA-N;288.15;101.325;1.975;0.05925
1713276;j.tca.2012.05.036;octane;CCCCCCCC;31372-91-5;InChIKey=TVMXDCGIABBOFY-UHFFFAOYSA-N;293.15;101.325;1.968;0.05904
1713277;j.tca.2012.05.036;octane;CCCCCCCC;31372-91-5;InChIKey=TVMXDCGIABBOFY-UHFFFAOYSA-N;298.15;101.325;1.961;0.05883
1713278;j.tca.2012.05.036;octane;CCCCCCCC;31372-91-5;InChIKey=TVMXDCGIABBOFY-UHFFFAOYSA-N;303.15;101.325;1.954;0.05862
1713279;j.tca.2012.05.036;octane;CCCCCCCC;31372-91-5;InChIKey=TVMXDCGIABBOFY-UHFFFAOYSA-N;308.15;101.325;1.947;0.05841
1713288;j.tca.2012.05.036;dibutyl ether;CCCCOCCCC;142-96-1;InChIKey=DURPTKYDGMDSBL-UHFFFAOYSA-N;288.15;101.325;3.186;0.09558
1713289;j.tca.2012.05.036;dibutyl ether;CCCCOCCCC;142-96-1;InChIKey=DURPTKYDGMDSBL-UHFFFAOYSA-N;293.15;101.325;3.145;0.09435
1713290;j.tca.2012.05.036;dibutyl ether;CCCCOCCCC;142-96-1;InChIKey=DURPTKYDGMDSBL-UHFFFAOYSA-N;298.15;101.325;3.106;0.09318
1713291;j.tca.2012.05.036;dibutyl ether;CCCCOCCCC;142-96-1;InChIKey=DURPTKYDGMDSBL-UHFFFAOYSA-N;303.15;101.325;3.068;0.09204
1713292;j.tca.2012.05.036;dibutyl ether;CCCCOCCCC;142-96-1;InChIKey=DURPTKYDGMDSBL-UHFFFAOYSA-N;308.15;101.325;3.031;0.09093
1719898;j.tca.2012.10.024;1-pentanol;CCCCCO;71-41-0;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;293.15;101.325;15.739;0.47217
1719899;j.tca.2012.10.024;1-pentanol;CCCCCO;71-41-0;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;298.15;101.325;15.158;0.45474
1719900;j.tca.2012.10.024;1-pentanol;CCCCCO;71-41-0;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;303.15;101.325;14.579;0.43737
1719904;j.tca.2012.10.024;octane;CCCCCCCC;31372-91-5;InChIKey=TVMXDCGIABBOFY-UHFFFAOYSA-N;293.15;101.325;1.968;0.05904
1719905;j.tca.2012.10.024;octane;CCCCCCCC;31372-91-5;InChIKey=TVMXDCGIABBOFY-UHFFFAOYSA-N;298.15;101.325;1.961;0.05883
1719906;j.tca.2012.10.024;octane;CCCCCCCC;31372-91-5;InChIKey=TVMXDCGIABBOFY-UHFFFAOYSA-N;303.15;101.325;1.954;0.05862
1728289;j.tca.2013.05.022;toluene;Cc1ccccc1;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;303.0;101.325;2.46;0.0492
